"province_code","year","month","influenza","influenza_death","dengue_fever","dengue_fever_death","diarrhoea","diarrhoea_death","date1"
23,2006,7,5992.0,0.0,144.0,0.0,1935.0,0.0,2006-07-15
21,2006,7,2098.0,0.0,84.0,0.0,806.0,0.0,2006-07-15
21,2006,7,2098.0,0.0,84.0,0.0,806.0,0.0,2006-07-15
21,2006,7,2098.0,0.0,84.0,0.0,806.0,0.0,2006-07-15
38,2006,7,1123.0,0.0,0.0,0.0,556.0,0.0,2006-07-15
38,2006,7,1123.0,0.0,0.0,0.0,556.0,0.0,2006-07-15
26,2006,7,1245.0,0.0,7.0,0.0,665.0,0.0,2006-07-15
26,2006,7,1245.0,0.0,7.0,0.0,665.0,0.0,2006-07-15
45,2006,7,1881.0,0.0,1.0,0.0,1801.0,0.0,2006-07-15
32,2006,7,595.0,0.0,1.0,0.0,528.0,0.0,2006-07-15
49,2006,7,3756.0,0.0,0.0,0.0,2085.0,0.0,2006-07-15
49,2006,7,3756.0,0.0,0.0,0.0,2085.0,0.0,2006-07-15
28,2006,7,1397.0,0.0,54.0,1.0,1580.0,0.0,2006-07-15
40,2006,7,757.0,0.0,21.0,0.0,470.0,0.0,2006-07-15
40,2006,7,757.0,0.0,21.0,0.0,470.0,0.0,2006-07-15
56,2006,7,540.0,0.0,110.0,0.0,419.0,0.0,2006-07-15
42,2006,7,2066.0,0.0,213.0,0.0,1049.0,0.0,2006-07-15
43,2006,7,2810.0,0.0,157.0,0.0,1032.0,0.0,2006-07-15
61,2006,7,2551.0,0.0,36.0,0.0,794.0,0.0,2006-07-15
61,2006,7,2551.0,0.0,36.0,0.0,794.0,0.0,2006-07-15
35,2006,7,2640.0,0.0,0.0,0.0,1129.0,0.0,2006-07-15
41,2006,7,745.0,0.0,168.0,0.0,563.0,0.0,2006-07-15
41,2006,7,745.0,0.0,168.0,0.0,563.0,0.0,2006-07-15
37,2006,7,3775.0,0.0,15.0,0.0,1930.0,1.0,2006-07-15
55,2006,7,724.0,0.0,14.0,0.0,262.0,0.0,2006-07-15
34,2006,7,1955.0,0.0,2.0,0.0,1438.0,0.0,2006-07-15
34,2006,7,1955.0,0.0,2.0,0.0,1438.0,0.0,2006-07-15
57,2006,7,1237.0,0.0,335.0,2.0,603.0,0.0,2006-07-15
48,2006,7,296.0,0.0,86.0,0.0,474.0,0.0,2006-07-15
36,2006,7,2591.0,0.0,393.0,0.0,1840.0,0.0,2006-07-15
59,2006,7,5222.0,0.0,483.0,0.0,1822.0,0.0,2006-07-15
60,2006,7,14.0,0.0,583.0,0.0,1088.0,0.0,2006-07-15
52,2006,7,4842.0,0.0,617.0,1.0,2331.0,0.0,2006-07-15
62,2006,7,613.0,0.0,215.0,0.0,555.0,0.0,2006-07-15
46,2006,7,677.0,0.0,217.0,0.0,1238.0,0.0,2006-07-15
39,2006,7,0.0,0.0,108.0,0.0,1462.0,0.0,2006-07-15
63,2006,7,1376.0,0.0,517.0,1.0,2419.0,0.0,2006-07-15
51,2006,7,660.0,0.0,786.0,2.0,1031.0,0.0,2006-07-15
64,2006,7,329.0,0.0,320.0,2.0,487.0,0.0,2006-07-15
54,2006,7,891.0,0.0,345.0,1.0,717.0,0.0,2006-07-15
15,2006,8,2538.0,0.0,0.0,0.0,1060.0,0.0,2006-08-15
15,2006,8,2538.0,0.0,0.0,0.0,1060.0,0.0,2006-08-15
15,2006,8,2538.0,0.0,0.0,0.0,1060.0,0.0,2006-08-15
15,2006,8,2538.0,0.0,0.0,0.0,1060.0,0.0,2006-08-15
30,2006,8,5798.0,0.0,0.0,0.0,2134.0,0.0,2006-08-15
30,2006,8,5798.0,0.0,0.0,0.0,2134.0,0.0,2006-08-15
30,2006,8,5798.0,0.0,0.0,0.0,2134.0,0.0,2006-08-15
27,2006,8,4059.0,0.0,0.0,0.0,856.0,0.0,2006-08-15
